HomeTeam,AwayTeam,HomeScore,AwayScore,Week,HomeResult,AwayResult,AwayAverage,HomeAverage,AwayFirstDowns,HomeFirstDowns,AwayTime,HomeTime,AwayThirdDowns,HomeThirdDowns
HOU,BUF,22,19,1,1,0,19.625,23.625,19.625,21.625,29.950625,29.86812500000001,35.84375000000001,43.48125
NE,TEN,13,20,1,0,1,25.125,26.25,19.8125,21.125,28.46125,31.54875,37.74375000000001,38.35625
NO,MIN,20,26,1,0,1,25.4375,28.625,19.625,21.6875,28.67,32.25625,43.2875,41.9375
PHI,SEA,9,17,1,0,1,25.3125,24.0625,21.3125,22.125,31.37,32.83375,38.18749999999999,44.6625
SF,MIN,27,10,2,1,0,26.0,29.9375,22.0,21.0,36.56,31.4725,55.6,44.8625
BAL,TEN,12,28,2,0,1,20.0,33.1875,19.0,24.125,31.9,34.614999999999995,50.0,47.0375
KC,HOU,51,31,2,1,0,22.0,28.1875,19.0,21.875,36.25,29.2775,46.2,48.6875
GB,SEA,28,23,2,1,0,17.0,23.5,16.0,20.0,26.45,31.42375,53.3,36.18125
KC,TEN,35,24,3,1,0,24.0,51.0,17.0,29.0,29.72,25.25,51.9,25.0
SF,GB,37,20,3,1,0,28.0,27.0,22.0,21.0,29.29,38.27,64.3,41.7
KC,SF,31,20,4,1,0,32.0,43.0,20.0,28.0,33.370000000000005,27.375,40.85,42.5
